track_name,artist_name,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins
Lay It Down Gmix - Main,Lloyd,302186,1/1/11,28,0.597,0.8,1,-5.423,0,0.312,0.0461,0,0.18,0.565,155.932,5.036433333
Bartender (feat. Akon),T-Pain,238800,5/6/07,75,0.832,0.391,8,-8.504,1,0.0628,0.0564,0,0.224,0.436,104.961,3.98
Chosen (feat. Ty Dolla $ign),Blxst,161684,4/12/20,76,0.571,0.767,2,-5.16,1,0.287,0.336,0,0.0809,0.605,93.421,2.694733333
Tie Me Down (with Elley Duhé),Gryffin,218295,3/8/18,72,0.548,0.839,6,-2.371,1,0.0644,0.135,0,0.102,0.314,98.932,3.63825
Build a Bitch,Bella Poarch,122772,14/5/21,89,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77E-05,0.347,0.866,102.931,2.0462
Ever After,Bonnie Bailey,231559,11/5/18,50,0.774,0.8,11,-6.504,0,0.0314,0.259,3.80E-06,0.0888,0.902,113.994,3.859316667
Calling My Phone,Lil Tjay,205458,2/4/21,89,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35E-06,0.135,0.202,104.949,3.4243
Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,125579,20/3/21,70,0.903,0.785,1,-4.709,1,0.322,0.0245,0,0.0652,0.823,129.835,2.092983333
Butter,BTS,164441,21/5/21,98,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,2.740683333
Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),T-Pain,235733,8/7/11,40,0.782,0.676,1,-6.144,1,0.324,0.00786,1.17E-06,0.141,0.878,158.162,3.928883333
Love Me,Justin Bieber,191573,1/1/09,43,0.729,0.868,3,-3.319,1,0.0609,0.00939,0,0.283,0.632,124.957,3.192883333
Who's That Girl (feat. Eve),Guy Sebastian,219693,8/11/10,51,0.759,0.833,0,-5.268,1,0.0353,0.155,0,0.192,0.599,127.017,3.66155
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,278085,22/4/21,91,0.883,0.674,11,-8.043,0,0.357,0.21,0,0.0678,0.73,141.02,4.63475
Ayegirl,1way Frank,170866,4/9/14,58,0.783,0.38,10,-8.507,0,0.0974,0.735,1.58E-06,0.158,0.84,99.802,2.847766667
You Da One,Rihanna,200013,1/1/11,44,0.702,0.715,5,-5.377,0,0.0425,0.503,2.44E-05,0.126,0.863,127.05,3.33355
Hands Up,Chris Brown,147716,13/12/17,53,0.565,0.73,11,-5.941,1,0.127,0.369,0,0.0773,0.526,102.792,2.461933333
I Don't Mind (feat. Juicy J),Usher,251989,21/11/14,69,0.87,0.464,4,-8.337,1,0.178,0.205,0,0.0902,0.457,112.974,4.199816667
